Step,Retention,Limit,Reward
0,1000034.0548984241,5000178.740534466,-817080885.2046101
1,1000050.678732805,5000346.232543234,-817060787.9163185
2,1000049.788283377,5000502.601487096,-817064179.1882604
3,1000031.4094239911,5000648.015248589,-817091026.4410923
4,999995.6801181724,5000782.678509131,-817141146.2895951
5,999942.8496576911,5000906.827789731,-817214241.3315156
6,999873.2738368744,5001020.726887509,-817309879.528971
7,999787.406861742,5001124.6636277065,-817427426.7937126
8,999685.7904069657,5001218.946429435,-817566132.1997945
9,999569.0406239191,5001303.9023731835,-817725167.289686
